Version,Level,n (per block),Total Blocks,Size
1,L / M / Q / H,7 / 10 / 13 / 17,1 / 1 / 1 / 1,21
2,L / M / Q / H,10 / 16 / 22 / 28,1 / 1 / 1 / 1,25
3,L / M / Q / H,15 / 26 / 18 / 22,1 / 1 / 2 / 2,29
4,L / M / Q / H,20 / 18 / 26 / 16,1 / 2 / 2 / 4,33
5,L / M / Q / H,26 / 24 / 18 / 22,1 / 2 / 4 / 4,37
6,L / M / Q / H,18 / 16 / 24 / 28,2 / 4 / 4 / 4,41
7,L / M / Q / H,20 / 18 / 18 / 26,2 / 4 / 6 / 5,45
8,L / M / Q / H,24 / 22 / 22 / 26,2 / 4 / 6 / 6,49
9,L / M / Q / H,30 / 22 / 20 / 24,2 / 5 / 8 / 8,53
10,L / M / Q / H,18 / 26 / 24 / 28,4 / 5 / 8 / 8,57
11,L / M / Q / H,20 / 30 / 28 / 24,4 / 5 / 8 / 11,61
12,L / M / Q / H,24 / 22 / 26 / 28,4 / 8 / 10 / 11,65
13,L / M / Q / H,26 / 22 / 24 / 22,4 / 9 / 12 / 16,69
14,L / M / Q / H,30 / 24 / 20 / 24,4 / 9 / 16 / 16,73
15,L / M / Q / H,22 / 24 / 30 / 24,6 / 10 / 12 / 18,77
16,L / M / Q / H,24 / 28 / 24 / 30,6 / 10 / 17 / 16,81
17,L / M / Q / H,28 / 28 / 28 / 28,6 / 11 / 16 / 19,85
18,L / M / Q / H,30 / 26 / 28 / 28,6 / 13 / 18 / 21,89
19,L / M / Q / H,28 / 26 / 26 / 26,7 / 14 / 21 / 25,93
20,L / M / Q / H,28 / 26 / 30 / 28,8 / 16 / 20 / 25,97
21,L / M / Q / H,28 / 26 / 28 / 30,8 / 17 / 23 / 25,101
22,L / M / Q / H,28 / 28 / 30 / 24,9 / 17 / 23 / 34,105
23,L / M / Q / H,30 / 28 / 30 / 30,9 / 18 / 25 / 30,109
24,L / M / Q / H,30 / 28 / 30 / 30,10 / 20 / 27 / 32,113
25,L / M / Q / H,26 / 28 / 30 / 30,12 / 21 / 29 / 35,117
26,L / M / Q / H,28 / 28 / 28 / 30,12 / 23 / 34 / 37,121
27,L / M / Q / H,30 / 28 / 30 / 30,12 / 25 / 34 / 40,125
28,L / M / Q / H,30 / 28 / 30 / 30,13 / 26 / 35 / 42,129
29,L / M / Q / H,30 / 28 / 30 / 30,14 / 28 / 38 / 45,133
30,L / M / Q / H,30 / 28 / 30 / 30,15 / 29 / 40 / 48,137
31,L / M / Q / H,30 / 28 / 30 / 30,16 / 31 / 43 / 51,141
32,L / M / Q / H,30 / 28 / 30 / 30,17 / 33 / 45 / 54,145
33,L / M / Q / H,30 / 28 / 30 / 30,18 / 35 / 48 / 57,149
34,L / M / Q / H,30 / 28 / 30 / 30,19 / 37 / 51 / 60,153
35,L / M / Q / H,30 / 28 / 30 / 30,19 / 38 / 53 / 63,157
36,L / M / Q / H,30 / 28 / 30 / 30,20 / 40 / 56 / 66,161
37,L / M / Q / H,30 / 28 / 30 / 30,21 / 43 / 59 / 70,165
38,L / M / Q / H,30 / 28 / 30 / 30,22 / 45 / 62 / 74,169
39,L / M / Q / H,30 / 28 / 30 / 30,24 / 47 / 65 / 77,173
40,L / M / Q / H,30 / 28 / 30 / 30,25 / 50 / 68 / 81,177
